term,definition
"BIM Building Infomation Modeling 건설공사 빌딩 정보 3D 모델","건축·토목·설비 정보를 3D 모델에 통합하여 설계·시공·운영 단계에서 협업·분석을 지원하는 기술 및 프로세스"
"BP Best Practice","건설공사 수행 과정에서 검증된 최적 방법이나 절차를 의미하며 품질·효율 향상을 위한 표준으로 활용"
"Baseline 기준 공정표","프로젝트 일정·원가·범위 등에 대한 기준이 되는 기준선. 실제 실적과 비교하여 성과를 측정하는 기준"
"CBS Cost Breakdown Structure 공사 원가 세부항목","전체 프로젝트 원가를 세부 항목으로 계층화한 구조. 원가 관리·통제에 활용"
"CQI Construction Quality Index 시공 품질 평가 및 관리 지표","건설 품질 지수(Construction Quality Index)로 공사현장의 품질 성과를 정량적으로 평가하기 위한 지표"
"DRI Daily Risk Inspection 위험성 점검","작업 시작 전에 위험인자 및 작업 시 주의사항 등을 미리 파악하는 절차. 작업 전 수행할 작업에 대한 위험요인 검토 및 안전대책을 수립"
"DRI D-1 Risk Inspection 위험성 점검","작업 1일 전 사전 점검을 통해 Risk 도출하고 대책을 수집한 자료로 담당자 검토 후 해당 내용을 근로자에게 교육"
"DfQ Design for Quality 설계 단계 공사 품질 확보","건설공사의 설계 단계에서 품질 확보를 목표로 하는 Design for Quality 원칙 및 절차"
"DfS Design for Safety 설계 단계 공사 안전 확보","건설공사의 설계단계에서 사전에 위험요소를 발굴하여 위험성 평가와 저감대책을 수립하고 설계에 반영하여 위험요소를 제거하는 활동"
"HSE health safety environment  안전보건환경기준","HSE(Health, Safety, Environment)는 건설 현장의 보건·안전·환경 정책·지표를 통합 관리하는 체계"
"NCR Non-Conformance Report 부적합 사항 보고서","건설공사에서 공사 중 발생한 품질, 설계서, 시방서, 절차 등에서 벗어나는 부적합 사항을 기록하고 시정 조치를 요구하는 문서"
"PEP Project Execution Plan 공사 수행 계획","프로젝트를 실행하고 감시·통제하기 위한 절차·목표·자원·일정 등을 체계적으로 기술한 공사 수행 계획"
"PO Purchase Order 구매요청","발주자가 공급자에게 물품·서비스 제공을 요청하고 계약 조건을 명시한 공식 구매 요청"
"PQ Pre Qualification 업체 수행능력 자격 평가","시공사·공급업체 등에 대해 입찰 전 기본 역량·재무·품질 등을 사전 평가하여 자격을 부여하는 절차"
"RFI REQUEST FOR INSPECTION 검측 요청","공사 현장에서 수행된 작업이나 재료에 대한 검사를 요청하기 위해 시공사·감리사가 발주자에게 제출하는 공식적인 검사 요구서"
"SAP 건설 ERP 시스템","기업 자원 관리(ERP) 시스템으로, 건설 산업에서 재무·조달·프로젝트 관리·공급망 등을 통합 운영하기 위해 활용되는 소프트웨어 제품"
"SRM 외주 용역 발주 관리 시스템","공급업체와의 계약·성과·위험 등을 체계적으로 관리하여 조달 효율과 품질을 향상시키는 관리 체계"
"VE Value Engineering 원가 개선 엔지니어링","프로젝트 요소의 기능을 유지하거나 향상시키면서 비용을 최소화하는 체계적 분석·개선 기법"
"감리 Supervision 건설공사 업무 관리 감독 승인","건설 사업의 설계·시공 단계에서 법령·기준 준수를 확인하고 검증하는 업무"
"검측 inspection 공사 시공 치수 품질 측정 점검","현장 상황을 조사하고 필요한 수치를 측정·점검하는 작업"
"견적요청 REQUEST FOR QUOTATION","공급업체에 특정 물품·서비스의 가격 및 조건을 제시하도록 요청하는 문서"
"공정표 progress schedule 공정 달성율 진척도","각 작업 단계별 진행 상황과 예정 기간을 시각적으로 표시한 일정표"
"기술개발활동 technology development activity","새로운 건설 기술·공법·재료 등을 연구·개발하기 위한 일련의 활동"
"도급공사비","발주처와 시공사 간의 계약에 따라 정해진 공사 대금 계약 금액.  시공사가 공사 완료 후 발주처가 인정하면 받게 되는 금액"
"착공 착공일 공사개시일","건축·토목 공사가 실제로 시작되는 시점을 의미하며, 계약서상의 착공일과 동일하게 관리되는 중요한 일정 지점"
"타절 contract termination","기존에 체결된 계약·협약을 해제하거나 무효화하는 행위·절차 계약 중지 중단"
"계약이행보증 Performance Bond","계약 이행을 보증하기 위해 발행되는 보증 증서"
"시정조치요구서","점검·감사 등에서 발견된 부적합사항에 대해 시정을 요구하는 공식 문서"
"안전점검항목","현장 작업 수행중 표준화된 안전 점검 체크리스트의 항목이며, 작업장의 위험요소를 확인하고 관련 규정을 준수했는지를 검증한다."
"협력업체 subcontractor","프로젝트 수행을 위해 계약·협정한 외부 업체"
"작업지시서","특정 작업·서비스·유지보수를 수행하도록 지시하는 공식 문서로, 작업 범위·현장·일정·필요 자원을 상세히 명시한다."
"위험성평가","유해 위험요인을 파악하고 그로 인한 재해 발생 가능성과 중대성을 결정하여 감소대책을 수립"
"PRM Progress Review Meeting","프로젝트 진행 진척도를 종합적으로 확인하고 점검하는 회의"
"PCM Pre-Construction Meeting","공사 공종 단위로 공사 작업 시작하기 전에 작업순서 안전 등 중요 사항들을 점검하고 확인하는 회의"
"Construction KOM","본격적인 공사를 시작하기 전에 안전, 기술, 공정, 원가 측면 문제점을 파악하고 대처방안을 논의하는 회의"
"프로젝트 KOM","프로젝트 착공이 결정된 후 현장 착공 관련 시급히 처리해야 할 사항을 논의하기 위한 회의"
"Hold Point","건설공사의 위험요인이 많은 작업을 수행할때 반드시 확인 및 승인을 거쳐야만 다음 단계 작업으로 진행되도록 하는 필수 확인 사항 또는 작업 단계"
"BoQ Bill of Quantities","공사 항목별 수량과 규격을 정리한 문서로, 입찰·견적·원가 관리의 기준"
"SOP Standard Operating Procedures","특정 공사 작업의 품질과 안전을 확보하기 위해 표준화된 방법에 따라 일관되게 실시할 목적으로 해당 절차 및 수행 방법 등을 상세하게 기술한 문서"
